pointNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,clientTeam,opponentTeam,Position,pointEndPosition,Duration,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,serverFarNear,serverStartLocation,returnerStartLocation,firstServeXCoord,firstServeYCoord,secondServeXCoord,secondServeYCoord,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,pointWonBy,isExcitingPoint,isBreakPoint,atNetPlayer1,atNetPlayer2,setNum,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,gameNumber,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,deepCountPlayer1,deepCountPlayer2,shortCountPlayer1,shortCountPlayer2,Name
59,Kaylan Bigun,Miguel Perez Pena,15-30,5-5,0-0,,Ad,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,2701080.0,2703590.0,2510.0,3,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-156.1718066,-183.4951553,,,Down the Line,Backhand,,,Crosscourt,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,5,5,15,30,,,11,1st Serve In,Ad: Wide,,,Crosscourt,Forehand,Winner,,,Down the Line,Backhand,,,,0.0,0.0,1.0,1.0,"Set 1: 5-5, 15-30 Kaylan Bigun Serving"
60,Kaylan Bigun,Miguel Perez Pena,30-30,5-5,0-0,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,2732909.0,2736510.0,3601.0,4,1-4,1,0,1st Serve In,T,T,,False,Far,,,30.75066163602961,-208.3021325,,,Down the Line,Forehand,,,Crosscourt,Forehand,Miguel Perez Pena,Winner,Miguel Perez Pena,,False,,,1,0,0,5,5,30,30,,,11,1st Serve In,Deuce: T,,,,,,,,Down the Line,Forehand,Crosscourt,Forehand,Winner,0.0,0.0,1.0,2.0,"Set 1: 5-5, 30-30 Kaylan Bigun Serving"
61,Kaylan Bigun,Miguel Perez Pena,30-40,5-5,0-0,,Ad,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,2761939.0,2762989.0,1050.0,2,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-134.6960302,-138.7931048,,,Down the Line,Backhand,Wide Left,Wide Left,Down the Line,Backhand,Miguel Perez Pena,Error,Kaylan Bigun,,True,,,1,0,0,5,5,30,40,,,11,1st Serve In,Ad: Wide,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,0.0,0.0,0.0,0.0,"Set 1: 5-5, 30-40 Kaylan Bigun Serving"
62,Kaylan Bigun,Miguel Perez Pena,0-0,6-5,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2786939.0,2922560.0,135621.0,2,1-4,1,0,1st Serve In,Body,Body,,False,Far,,,55.85592738404814,-194.9321249,,,Down the Line,Backhand,Wide Right,Wide Right,Down the Line,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,1,0,0,6,5,0,0,,,12,,,Down the Line,Backhand,Down the Line,Backhand,Error,1st Serve In,Deuce: Body,,,,,,0.0,0.0,0.0,0.0,"Set 1: 6-5, 0-0 Miguel Perez Pena Serving"
63,Kaylan Bigun,Miguel Perez Pena,15-0,6-5,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2946600.0,2959090.0,12490.0,4,1-4,0,1,2nd Serve In,Body,Body,Body,False,Far,,,-83.44851269,7.371358268,-63.47087708,-220.4330162,Down the Line,Forehand,Net,,Crosscourt,Backhand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,6,5,15,0,,,12,,,Down the Line,Forehand,Crosscourt,Backhand,Winner,2nd Serve In,Ad: Body,,,,,,1.0,0.0,1.0,1.0,"Set 1: 6-5, 15-0 Miguel Perez Pena Serving"
64,Kaylan Bigun,Miguel Perez Pena,15-15,6-5,0-0,,Deuce,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,2986429.0,3003570.0,17141.0,6,5-8,0,1,2nd Serve In,T,Wide,T,False,Far,,,130.58678368322214,-271.2481245,42.50115376200779,-149.5694226,Crosscourt,Backhand,Net,,Down the Line,,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,1,0,0,6,5,15,15,,,12,,,Crosscourt,Backhand,Down the Line,,Error,2nd Serve In,Deuce: T,,,,,,1.0,1.0,1.0,1.0,"Set 1: 6-5, 15-15 Miguel Perez Pena Serving"
65,Kaylan Bigun,Miguel Perez Pena,30-15,6-5,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,3038659.0,3042389.0,3730.0,4,1-4,1,0,1st Serve In,Wide,Wide,,False,Far,,,-108.7392279,-230.2021271,,,Down the Line,Backhand,,,Crosscourt,Backhand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,6,5,30,15,,,12,,,Down the Line,Backhand,Crosscourt,Backhand,Winner,1st Serve In,Ad: Wide,,,,,,1.0,1.0,1.0,0.0,"Set 1: 6-5, 30-15 Miguel Perez Pena Serving"
66,Kaylan Bigun,Miguel Perez Pena,30-30,6-5,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,3078000.0,3080000.0,2000.0,2,1-4,1,0,1st Serve In,T,T,,False,Near,,,,,,,,Forehand,Net,Net,,Forehand,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,1,0,0,6,5,30,30,,,12,,,,Forehand,,Forehand,Error,1st Serve In,Ad: T,,,,,,0.0,0.0,0.0,0.0,"Set 1: 6-5, 30-30 Miguel Perez Pena Serving"
67,Kaylan Bigun,Miguel Perez Pena,40-30,6-5,0-0,,Ad,Miguel Perez Pena,Kaylan Bigun,UCLA,UGA,3089790.0,3098969.0,9179.0,8,5-8,1,0,1st Serve In,Wide,Wide,,False,Far,,,-115.413189,-164.8576936,,,Crosscourt,Backhand,,,Crosscourt,Forehand,Kaylan Bigun,Winner,Kaylan Bigun,,False,,,1,0,0,6,5,40,30,,,12,,,Crosscourt,Backhand,Crosscourt,Forehand,Winner,1st Serve In,Ad: Wide,,,,,,3.0,1.0,1.0,2.0,"Set 1: 6-5, 40-30 Miguel Perez Pena Serving"
68,Kaylan Bigun,Miguel Perez Pena,0-0,0-0,0-1,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,3103090.0,3321600.0,218510.0,2,1-4,1,0,1st Serve In,Body,Body,T,False,Far,,,59.57261045491235,-149.5215004,-38.8368329,307.9302602798059,Down the Line,Backhand,Net,Net,Down the Line,Backhand,Miguel Perez Pena,Winner,Miguel Perez Pena,,False,,,2,0,1,0,0,0,0,,,1,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Down the Line,Backhand,Winner,0.0,0.0,0.0,1.0,"Set 2: 0-0, 0-0 Kaylan Bigun Serving"
69,Kaylan Bigun,Miguel Perez Pena,0-15,0-0,0-1,,Ad,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,3339699.0,3428129.0,88430.0,4,1-4,0,0,Double Fault,Wide,Wide,Wide,False,Near,,,117.89312117229257,-206.0076115,157.16944444436325,290.92842847753997,Crosscourt,Backhand,Net,,Down the Line,Forehand,Miguel Perez Pena,Winner,Miguel Perez Pena,,False,,,2,0,1,0,0,0,15,,,1,Double Fault,Ad: Wide,,,,,,,,Crosscourt,Backhand,Down the Line,Forehand,Winner,0.0,0.0,1.0,2.0,"Set 2: 0-0, 0-15 Kaylan Bigun Serving"
70,Kaylan Bigun,Miguel Perez Pena,0-30,0-0,0-1,,Deuce,Kaylan Bigun,Miguel Perez Pena,UCLA,UGA,3455530.0,3465659.0,10129.0,9,9-12,1,0,1st Serve In,T,T,,False,Near,,,-18.66999672,200.2931266403164,,,Crosscourt,Backhand,Net,,Down the Line,Backhand,Kaylan Bigun,Error,Miguel Perez Pena,,False,,,2,0,1,0,0,0,30,,,1,1st Serve In,Deuce: T,,,Down the Line,Backhand,Error,,,Crosscourt,Backhand,,,,1.0,1.0,2.0,3.0,"Set 2: 0-0, 0-30 Kaylan Bigun Serving"
